sku,main_category,sub_category,child_category,product_name,product_feature_image,product_description,current_price,previous_price,stock,policy,product_type
1wsssct8214,World Spices,"Salt, Seasonings & Coatings","Cooking, Table & Rock Salt",Saxa Fine Salt,https://worldshops.co.uk/assets/front/img/no-img.png,"Fine flowing salt, harvested from mineral rich sea water. Our fine sea salt offers natural flavour in a convenient format.",0.95,,,,normal
1wsssct8215,World Spices,"Salt, Seasonings & Coatings","Cooking, Table & Rock Salt",Tata salt,https://worldshops.co.uk/assets/front/img/no-img.png,"Tata salt 1kg

High purity, British-made salt product that is fortified with iodine.

Tastes, looks and feels just like conventional table salt",1.19,,,,normal
1wsssct8216,World Spices,"Salt, Seasonings & Coatings","Cooking, Table & Rock Salt",DP Table Salt,https://worldshops.co.uk/assets/front/img/no-img.png,"DP Table Salt - 750g.

Table salt used for adding an extra bit of flavour to your dish on the go.",0.99,,,,normal
1wsssct8217,World Spices,"Salt, Seasonings & Coatings","Cooking, Table & Rock Salt",DP Cooking Salt- 1.5kg,https://worldshops.co.uk/assets/front/img/no-img.png,"DP Cooking Salt - 1.5kg.

Salt to be used in cooking and fulfill all your seasoning needs.",0.99,,,,normal
1wsssct8218,World Spices,"Salt, Seasonings & Coatings","Cooking, Table & Rock Salt",Alamgeer Iodized Salt - 800g,https://worldshops.co.uk/assets/front/img/no-img.png,"Alamgeer Iodized Salt - 800g. 

Iodized salt is used to help iodine deficiency.",1.29,,,,normal
1wsssct8219,World Spices,"Salt, Seasonings & Coatings","Cooking, Table & Rock Salt",Best One Table Salt,https://worldshops.co.uk/assets/front/img/no-img.png,"Best One Table Salt - 750g. 

High quality table salt to satisfy all your seasoning needs.",0.59,,,,normal
1wsssct8220,World Spices,"Salt, Seasonings & Coatings","Cooking, Table & Rock Salt",Heera black rock salt powder,https://worldshops.co.uk/assets/front/img/no-img.png,"Heera Black Salt, also known as Kala Namak, is heated in heavy clay pots for many hours together with the precious ayurvedic Haritaki and Amla fruits.",1.29,,,,normal
1wsssct8221,World Spices,"Salt, Seasonings & Coatings","Cooking, Table & Rock Salt",DP Cooking Salt- 3kg,https://worldshops.co.uk/assets/front/img/no-img.png,"DP Cooking Salt - 3kg.

Salt to be used in cooking and fulfill all your seasoning needs.",1.99,,,,normal
1wsssct8222,World Spices,"Salt, Seasonings & Coatings","Cooking, Table & Rock Salt",Alamgeer Natural Rock Salt,https://worldshops.co.uk/assets/front/img/no-img.png,"Alamgeer Natural Rock Salt - 800g. 

Pure natural rock salt full of flavour used for cooking and herbal home remedies.",1.29,,,,normal
1wsssct8223,World Spices,"Salt, Seasonings & Coatings","Cooking, Table & Rock Salt",Saxa fine salt drum,https://worldshops.co.uk/assets/front/img/no-img.png,"Saxa fine salt drum 750g

Saxa Salt is fine flowing and ideal for both cooking and table use",1.29,,,,normal
1wsssct8224,World Spices,"Salt, Seasonings & Coatings","Cooking, Table & Rock Salt",Greenfields sea salt coarse,https://worldshops.co.uk/assets/front/img/no-img.png,"Greenfields sea salt coarse- 400g

Greenfields coarse sea salt is a classic all-purpose seasoning. Use in salt mills or grind in a pestle & mortar before use.",0.99,,,,normal
1wsssct8225,World Spices,"Salt, Seasonings & Coatings","Cooking, Table & Rock Salt",Best One rock salt,https://worldshops.co.uk/assets/front/img/no-img.png,Best One rock salt with grinder used for medical uses as well as food.,1.99,,,,normal
1wsssct8226,World Spices,"Salt, Seasonings & Coatings","Cooking, Table & Rock Salt",Hibah Salt and pepper,https://worldshops.co.uk/assets/front/img/no-img.png,"Ingredients:

Black Pepper 40%

Rock Salt 30%

Himalayan salt 30% ",1.49,,,,normal
1wsssct8227,World Spices,"Salt, Seasonings & Coatings","Cooking, Table & Rock Salt",Regal Natural Rock Salt Whole 750g,https://worldshops.co.uk/assets/front/img/no-img.png,"Our 100% natural Whole Rock Salt is perfect for adding that final flavour to both meat and vegetable dishes. Rock Salt can also be used for medicinal uses to boost skin health and treat coughs, colds, and stomach conditions.",1.49,,,,normal
1wsssct8228,World Spices,"Salt, Seasonings & Coatings","Cooking, Table & Rock Salt",Alamgeer Natural White Salt Coarse - 475g,https://worldshops.co.uk/assets/front/img/no-img.png,"Alamgeer Natural White Salt Coarse - 475g. 

Pure natural white salt full of flavour.",1.99,,,,normal
1wsssct8229,World Spices,"Salt, Seasonings & Coatings","Cooking, Table & Rock Salt",Alamgeer Natural Table Salt,https://worldshops.co.uk/assets/front/img/no-img.png,"Alamgeer Natural Table Salt - 475g. 

Pure natural table salt full of flavour.",1.99,,,,normal
